# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 100.0 100.0 100.0 100.0 100.0 100.0 1.17e+01 1.36e+01 1.27e+01 1.12e+01 1.20e+01 9.73e+00
10.0 10.0 10.0 10.0 10.0 10.0 5.0 5.0 5.0 5.0 5.0 5.0 200.0 200.0 200.0 200.0 200.0 200.0 1.29e+01 1.25e+01 1.26e+01 1.21e+01 1.27e+01 1.04e+01
15.0 15.0 15.0 15.0 15.0 15.0 5.0 5.0 5.0 5.0 5.0 5.0 300.0 300.0 300.0 300.0 300.0 300.0 1.28e+01 1.30e+01 1.18e+01 1.21e+01 1.26e+01 1.06e+01
20.0 20.0 20.0 20.0 20.0 20.0 5.0 5.0 5.0 5.0 5.0 5.0 400.0 400.0 400.0 400.0 400.0 400.0 1.30e+01 1.27e+01 1.16e+01 1.23e+01 1.30e+01 1.09e+01
25.0 25.0 25.0 25.0 25.0 25.0 5.0 5.0 5.0 5.0 5.0 5.0 500.0 500.0 500.0 500.0 500.0 500.0 1.28e+01 1.25e+01 1.17e+01 1.23e+01 1.34e+01 1.15e+01
35.0 35.0 35.0 35.0 35.0 35.0 5.0 5.0 5.0 5.0 5.0 5.0 700.0 700.0 700.0 700.0 700.0 700.0 1.23e+01 1.23e+01 1.21e+01 1.24e+01 1.30e+01 1.17e+01
45.0 45.0 45.0 45.0 45.0 45.0 5.0 5.0 5.0 5.0 5.0 5.0 900.0 900.0 900.0 900.0 900.0 900.0 1.22e+01 1.25e+01 1.22e+01 1.21e+01 1.29e+01 1.17e+01
55.0 55.0 55.0 55.0 55.0 55.0 5.0 5.0 5.0 5.0 5.0 5.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.23e+01 1.27e+01 1.24e+01 1.20e+01 1.27e+01 1.17e+01
65.0 65.0 65.0 65.0 65.0 65.0 5.0 5.0 5.0 5.0 5.0 5.0 412.4 301.6 412.4 412.4 301.6 412.4 3.97e+00 2.91e+00 3.92e+00 3.79e+00 2.96e+00 3.76e+00
75.0 75.0 75.0 75.0 75.0 75.0 5.0 5.0 5.0 5.0 5.0 5.0 184.2 136.0 157.1 157.1 136.0 184.2 1.55e+00 1.14e+00 1.29e+00 1.26e+00 1.17e+00 1.44e+00
85.0 85.0 85.0 85.0 85.0 85.0 5.0 5.0 5.0 5.0 5.0 5.0 96.0 96.0 96.0 96.0 96.0 106.8 7.09e-01 7.14e-01 7.00e-01 6.82e-01 7.28e-01 7.43e-01
95.0 95.0 95.0 95.0 95.0 95.0 5.0 5.0 5.0 5.0 5.0 5.0 67.5 67.5 67.5 67.5 67.5 73.5 4.53e-01 4.42e-01 4.41e-01 4.29e-01 4.59e-01 4.59e-01
105.0 105.0 105.0 105.0 105.0 105.0 5.0 5.0 5.0 5.0 5.0 5.0 50.7 50.7 50.7 54.5 50.7 54.5 3.07e-01 3.03e-01 3.01e-01 3.13e-01 3.11e-01 3.10e-01
115.0 115.0 115.0 115.0 115.0 115.0 5.0 5.0 5.0 5.0 5.0 5.0 39.4 39.4 42.1 42.1 39.4 45.0 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
125.0 125.0 125.0 125.0 125.0 125.0 5.0 5.0 5.0 5.0 5.0 5.0 35.6 33.6 35.6 35.6 33.6 37.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
