# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 100.0 100.0 100.0 100.0 100.0 100.0 9.68e+00 1.36e+01 9.68e+00 1.28e+01 1.53e+01 1.82e+01
10.0 10.0 10.0 10.0 10.0 10.0 5.0 5.0 5.0 5.0 5.0 5.0 10.2 200.0 200.0 200.0 200.0 200.0 6.23e-01 9.19e+00 1.13e+01 3.67e+01 1.09e+01 2.64e+01
15.0 15.0 15.0 15.0 15.0 15.0 5.0 5.0 5.0 5.0 5.0 5.0 300.0 300.0 300.0 300.0 300.0 300.0 1.20e+01 1.08e+01 1.37e+01 1.67e+01 1.18e+01 1.79e+01
20.0 20.0 20.0 20.0 20.0 20.0 5.0 5.0 5.0 5.0 5.0 5.0 400.0 400.0 400.0 400.0 400.0 400.0 1.10e+01 1.18e+01 1.22e+01 1.49e+01 1.25e+01 1.41e+01
25.0 25.0 25.0 25.0 25.0 25.0 5.0 5.0 5.0 5.0 5.0 5.0 500.0 500.0 500.0 500.0 500.0 500.0 8.89e+00 1.37e+01 1.18e+01 1.31e+01 1.15e+01 1.48e+01
35.0 35.0 35.0 35.0 35.0 35.0 5.0 5.0 5.0 5.0 5.0 5.0 700.0 700.0 700.0 700.0 700.0 700.0 9.68e+00 1.16e+01 1.11e+01 1.17e+01 1.11e+01 1.45e+01
45.0 45.0 45.0 45.0 45.0 45.0 5.0 5.0 5.0 5.0 5.0 5.0 900.0 900.0 900.0 900.0 900.0 900.0 1.11e+01 1.13e+01 1.26e+01 1.24e+01 1.09e+01 1.52e+01
55.0 55.0 55.0 55.0 55.0 55.0 5.0 5.0 5.0 5.0 5.0 5.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.13e+01 1.23e+01 1.09e+01 1.24e+01 1.34e+01 1.43e+01
65.0 65.0 65.0 65.0 65.0 65.0 5.0 5.0 5.0 5.0 5.0 5.0 1300.0 1300.0 1300.0 1300.0 1300.0 1300.0 1.17e+01 1.33e+01 1.06e+01 1.19e+01 1.39e+01 1.32e+01
75.0 75.0 75.0 75.0 75.0 75.0 5.0 5.0 5.0 5.0 5.0 5.0 475.8 348.0 475.8 348.0 348.0 475.8 4.05e+00 3.28e+00 3.63e+00 2.75e+00 3.01e+00 4.33e+00
85.0 85.0 85.0 85.0 85.0 85.0 5.0 5.0 5.0 5.0 5.0 5.0 249.9 178.0 208.8 178.0 154.2 208.8 1.77e+00 1.36e+00 1.33e+00 1.27e+00 1.21e+00 1.81e+00
95.0 95.0 95.0 95.0 95.0 95.0 5.0 5.0 5.0 5.0 5.0 5.0 80.3 107.3 133.7 107.3 96.9 133.7 4.84e-01 7.43e-01 7.83e-01 7.14e-01 7.04e-01 9.55e-01
105.0 105.0 105.0 105.0 105.0 105.0 5.0 5.0 5.0 5.0 5.0 5.0 107.2 88.8 88.8 74.6 74.6 97.3 5.66e-01 5.27e-01 4.80e-01 4.51e-01 5.00e-01 6.33e-01
115.0 115.0 115.0 115.0 115.0 115.0 5.0 5.0 5.0 5.0 5.0 5.0 81.8 64.4 69.6 64.4 59.7 75.3 3.88e-01 3.57e-01 3.40e-01 3.46e-01 3.62e-01 4.27e-01
125.0 125.0 125.0 125.0 125.0 125.0 5.0 5.0 5.0 5.0 5.0 5.0 70.0 52.4 60.3 52.4 2.2 60.3 3.08e-01 2.84e-01 2.76e-01 2.59e-01 1.00e+00 3.16e-01
150.0 150.0 150.0 150.0 150.0 150.0 5.0 5.0 5.0 5.0 5.0 5.0 45.2 30.5 42.7 38.3 42.7 42.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 5.0 5.0 5.0 5.0 5.0 5.0 32.9 26.1 25.3 24.6 23.9 27.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 5.0 5.0 5.0 5.0 5.0 5.0 2.5 15.7 15.2 14.8 17.1 16.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 5.0 5.0 5.0 5.0 5.0 5.0 13.6 11.1 11.0 10.7 11.3 11.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 5.0 5.0 5.0 5.0 5.0 5.0 10.0 8.2 8.4 7.9 8.6 8.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 5.0 5.0 5.0 5.0 5.0 5.0 7.9 6.5 7.0 6.7 7.0 7.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 5.0 5.0 5.0 5.0 5.0 5.0 6.5 5.4 6.3 6.2 6.0 6.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 15.0 15.0 15.0 15.0 15.0 15.0 100.0 100.0 100.0 100.0 100.0 100.0 9.77e+00 1.28e+01 1.80e+01 9.14e+00 1.27e+01 1.37e+01
10.0 10.0 10.0 10.0 10.0 10.0 15.0 15.0 15.0 15.0 15.0 15.0 200.0 200.0 200.0 200.0 200.0 200.0 1.07e+01 1.40e+01 1.35e+01 1.04e+01 1.17e+01 1.47e+01
15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 300.0 300.0 300.0 300.0 300.0 300.0 1.19e+01 1.09e+01 1.48e+01 1.47e+01 1.15e+01 1.26e+01
20.0 20.0 20.0 20.0 20.0 20.0 15.0 15.0 15.0 15.0 15.0 15.0 400.0 400.0 400.0 400.0 400.0 400.0 1.43e+01 1.33e+01 1.12e+01 1.16e+01 1.27e+01 1.14e+01
25.0 25.0 25.0 25.0 25.0 25.0 15.0 15.0 15.0 15.0 15.0 15.0 500.0 500.0 500.0 500.0 500.0 500.0 1.66e+01 1.23e+01 1.26e+01 1.26e+01 1.30e+01 1.02e+01
35.0 35.0 35.0 35.0 35.0 35.0 15.0 15.0 15.0 15.0 15.0 15.0 700.0 700.0 700.0 700.0 700.0 700.0 1.61e+01 1.31e+01 1.22e+01 1.22e+01 1.38e+01 1.08e+01
45.0 45.0 45.0 45.0 45.0 45.0 15.0 15.0 15.0 15.0 15.0 15.0 900.0 900.0 900.0 900.0 900.0 900.0 1.41e+01 1.31e+01 1.06e+01 1.21e+01 1.28e+01 1.23e+01
