# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 0.4 0.3 0.8 0.2 0.1 0.4 1.66e-01 1.67e-01 1.63e-01 1.68e-01 1.69e-01 1.66e-01
10.0 10.0 10.0 10.0 10.0 10.0 5.0 5.0 5.0 5.0 5.0 5.0 0.5 0.3 0.8 0.2 0.2 0.3 9.16e-02 9.24e-02 9.07e-02 9.32e-02 9.30e-02 9.26e-02
15.0 15.0 15.0 15.0 15.0 15.0 5.0 5.0 5.0 5.0 5.0 5.0 0.6 0.3 0.6 0.1 0.2 0.3 6.26e-02 6.34e-02 6.25e-02 1.00e+00 1.00e+00 6.34e-02
20.0 20.0 20.0 20.0 20.0 20.0 5.0 5.0 5.0 5.0 5.0 5.0 0.6 0.3 0.7 0.1 0.2 0.3 4.76e-02 1.00e+00 4.75e-02 1.00e+00 1.00e+00 1.00e+00
25.0 25.0 25.0 25.0 25.0 25.0 5.0 5.0 5.0 5.0 5.0 5.0 0.4 0.3 0.7 0.2 0.1 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
35.0 35.0 35.0 35.0 35.0 35.0 5.0 5.0 5.0 5.0 5.0 5.0 0.4 0.4 0.4 0.4 0.1 0.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
45.0 45.0 45.0 45.0 45.0 45.0 5.0 5.0 5.0 5.0 5.0 5.0 0.5 0.5 0.2 0.3 0.1 0.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
55.0 55.0 55.0 55.0 55.0 55.0 5.0 5.0 5.0 5.0 5.0 5.0 0.3 0.4 0.2 0.3 0.3 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
65.0 65.0 65.0 65.0 65.0 65.0 5.0 5.0 5.0 5.0 5.0 5.0 0.4 0.3 0.4 0.3 0.3 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
75.0 75.0 75.0 75.0 75.0 75.0 5.0 5.0 5.0 5.0 5.0 5.0 0.4 0.3 0.5 0.2 0.2 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
85.0 85.0 85.0 85.0 85.0 85.0 5.0 5.0 5.0 5.0 5.0 5.0 0.4 0.3 0.5 0.3 0.2 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
95.0 95.0 95.0 95.0 95.0 95.0 5.0 5.0 5.0 5.0 5.0 5.0 0.4 0.4 0.4 0.3 0.2 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
