# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 100.0 100.0 100.0 100.0 100.0 100.0 1.33e+01 1.55e+01 6.35e+00 2.83e+01 4.97e+01 1.32e+01
10.0 10.0 10.0 10.0 10.0 10.0 5.0 5.0 5.0 5.0 5.0 5.0 200.0 200.0 200.0 200.0 200.0 200.0 1.02e+01 1.63e+01 6.51e+00 3.30e+01 2.76e+01 1.89e+01
15.0 15.0 15.0 15.0 15.0 15.0 5.0 5.0 5.0 5.0 5.0 5.0 300.0 300.0 300.0 300.0 300.0 300.0 8.31e+00 1.82e+01 7.81e+00 5.25e+01 2.44e+01 1.79e+01
20.0 20.0 20.0 20.0 20.0 20.0 5.0 5.0 5.0 5.0 5.0 5.0 400.0 92.8 400.0 400.0 400.0 400.0 8.85e+00 4.06e+00 7.28e+00 3.75e+01 3.31e+01 1.80e+01
25.0 25.0 25.0 25.0 25.0 25.0 5.0 5.0 5.0 5.0 5.0 5.0 500.0 500.0 500.0 500.0 500.0 500.0 1.22e+01 1.57e+01 7.28e+00 2.17e+01 4.28e+01 1.38e+01
35.0 35.0 35.0 35.0 35.0 35.0 5.0 5.0 5.0 5.0 5.0 5.0 700.0 700.0 700.0 700.0 700.0 700.0 1.15e+01 1.28e+01 1.37e+01 1.29e+01 5.45e+01 6.37e+00
45.0 45.0 45.0 45.0 45.0 45.0 5.0 5.0 5.0 5.0 5.0 5.0 900.0 900.0 900.0 900.0 900.0 900.0 1.03e+01 1.06e+01 2.11e+01 1.51e+01 5.33e+01 7.27e+00
55.0 55.0 55.0 55.0 55.0 55.0 5.0 5.0 5.0 5.0 5.0 5.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.50e+01 1.19e+01 2.11e+01 1.54e+01 1.66e+01 9.88e+00
65.0 65.0 65.0 65.0 65.0 65.0 5.0 5.0 5.0 5.0 5.0 5.0 1300.0 634.1 1300.0 412.4 1300.0 1300.0 1.31e+01 7.06e+00 1.42e+01 5.79e+00 1.49e+01 1.18e+01
75.0 75.0 75.0 75.0 75.0 75.0 5.0 5.0 5.0 5.0 5.0 5.0 475.8 220.5 731.7 136.0 731.7 1500.0 3.63e+00 2.59e+00 4.68e+00 2.02e+00 1.02e+01 8.05e+00
85.0 85.0 85.0 85.0 85.0 85.0 5.0 5.0 5.0 5.0 5.0 5.0 178.0 135.2 307.7 86.7 249.9 539.3 1.19e+00 1.32e+00 1.86e+00 8.49e-01 3.30e+00 2.73e+00
95.0 95.0 95.0 95.0 95.0 95.0 5.0 5.0 5.0 5.0 5.0 5.0 4.7 107.3 172.3 73.5 107.3 279.3 1.00e+00 7.15e-01 1.24e+00 7.41e-01 1.61e+00 1.66e+00
